Company Name,Quarter, Date, Open, High, Low, Close,Adj Close
Alphabet,Q3,20-09-2024,229.97,233.09,227.62,228.2,227.95
Alphabet,Q4,26-12-2024,258.19,260.1,257.63,259.02,259.02
Amazon,Q3,24-09-2024,194.27,195.37,190.13,193.96,193.96
Amazon,Q4,16-12-2024,230.23,233,228.01,232.93,232.93
Google,Q3,31-07-2024,173.24,174.25,170.01,171.54,171.12
Google,Q4,17-12-2024,197.25,201.42,194.98,195.42,195.42
Meta,Q3,26-09-2024,575.73,577.4,562.35,567.84,567.38
Meta,Q4,11-12-2024,623.37,638.4,621.53,632.68,632.17
Microsoft,Q3,17-09-2024,440.23,441.85,432.27,435.15,435.15
Microsoft,Q4,12-12-2024,449.11,456.16,449.11,449.56,449.56
Netflix,Q3,26-09-2024,724.73,725.26,701.72,711.43,711.43
Netflix,Q4,11-12-2024,924.71,941.75,923.08,936.56,936.56
